"user_email_hash","model_name","phrase_id","speaker_id","rating"
"bc8a0324","Glow-180spk","p006","AS009","4"
"da209842","Glow-060spk","p053","VP427","2"
"da209842","Glow-030spk","p052","VP427","2"
"bc8a0324","Glow-030spk","p025","IS038","3"
"da209842","GT-000000","p030","IS038","5"
"da209842","Tacotron2-060spk","p049","VP131","2"
"bc8a0324","GT-000000","p024","IS038","5"
"da209842","GT-000000","p058","VP427","5"
"da209842","Glow-180spk","p054","VP427","2"
"bc8a0324","Tacotron2-060spk","p008","AS009","5"
"da209842","Glow-030spk","p059","VP427","2"
"da209842","Glow-180spk","p019","IS031","4"
"da209842","Glow-180spk","p012","IS031","4"
"da209842","Glow-030spk","p024","IS038","4"
"da209842","Tacotron2-180spk","p001","AS009","5"
"da209842","Glow-060spk","p004","AS009","3"
"da209842","Tacotron2-060spk","p042","VP131","3"
"da209842","GT-000000","p044","VP131","5"
"da209842","Glow-060spk","p039","MS052","3"
"da209842","Tacotron2-060spk","p014","IS031","4"
"da209842","Tacotron2-180spk","p029","IS038","4"
"da209842","Glow-180spk","p026","IS038","4"
"da209842","Glow-030spk","p003","AS009","4"
"da209842","Glow-180spk","p005","AS009","2"
"da209842","Tacotron2-180spk","p015","IS031","4"
"da209842","Glow-030spk","p010","AS009","2"
"da209842","Tacotron2-180spk","p043","VP131","3"
"da209842","Glow-060spk","p046","VP131","2"
"da209842","GT-000000","p037","MS052","5"
"da209842","Tacotron2-030spk","p027","IS038","4"
"da209842","Glow-060spk","p060","VP427","2"
"da209842","GT-000000","p016","IS031","5"
"da209842","Glow-030spk","p017","IS031","2"
"da209842","GT-000000","p009","AS009","5"
"da209842","Tacotron2-180spk","p008","AS009","5"
"da209842","Tacotron2-060spk","p028","IS038","4"
"da209842","Glow-060spk","p032","MS052","1"
"da209842","Glow-060spk","p011","IS031","2"
"da209842","Glow-030spk","p031","MS052","2"
"da209842","Tacotron2-030spk","p013","IS031","4"
"da209842","GT-000000","p023","IS038","5"
"da209842","Tacotron2-030spk","p055","VP427","3"
"da209842","Tacotron2-030spk","p006","AS009","4"
"da209842","Tacotron2-060spk","p007","AS009","5"
"da209842","Tacotron2-030spk","p041","VP131","2"
"da209842","Glow-030spk","p038","MS052","2"
"da209842","Glow-030spk","p045","VP131","3"
"da209842","Glow-060spk","p018","IS031","3"
"da209842","Tacotron2-180spk","p036","MS052","2"
"da209842","Tacotron2-180spk","p050","VP131","2"
"c6397812","Glow-060spk","p037","MS052","1"
"c6397812","Tacotron2-180spk","p055","VP427","2"
"c6397812","Tacotron2-060spk","p019","IS031","5"
"c6397812","Glow-180spk","p010","AS009","1"
"c6397812","Glow-060spk","p016","IS031","1"
"c6397812","GT-000000","p028","IS038","5"
"c6397812","Glow-180spk","p003","AS009","5"
"c6397812","GT-000000","p007","AS009","5"
"c6397812","Glow-180spk","p045","VP131","3"
"c6397812","GT-000000","p035","MS052","5"
"c6397812","Tacotron2-030spk","p060","VP427","4"
"c6397812","Tacotron2-030spk","p032","MS052","2"
"c6397812","Glow-180spk","p017","IS031","1"
"c6397812","Glow-180spk","p059","VP427","1"
"c6397812","Glow-030spk","p001","AS009","3"
"c6397812","Glow-030spk","p050","VP131","3"
"c6397812","GT-000000","p042","VP131","4"
"c6397812","Glow-030spk","p029","IS038","3"
"c6397812","Glow-060spk","p023","IS038","1"
"c6397812","Tacotron2-030spk","p025","IS038","5"
"c6397812","GT-000000","p049","VP131","4"
"c6397812","Glow-030spk","p057","VP427","1"
"c6397812","Glow-030spk","p015","IS031","3"
"c6397812","Tacotron2-030spk","p011","IS031","1"
"c6397812","Glow-060spk","p051","VP427","2"
"c6397812","Glow-060spk","p002","AS009","3"
"c6397812","Tacotron2-030spk","p046","VP131","3"
"c6397812","GT-000000","p021","IS038","5"
"c6397812","Glow-060spk","p044","VP131","2"
"c6397812","Glow-030spk","p008","AS009","4"
"c6397812","GT-000000","p056","VP427","5"
"c6397812","Tacotron2-180spk","p020","IS031","2"
"c6397812","Glow-180spk","p031","MS052","3"
"c6397812","Tacotron2-180spk","p034","MS052","3"
"c6397812","Glow-060spk","p030","IS038","3"
"c6397812","Glow-060spk","p009","AS009","3"
"c6397812","Glow-030spk","p022","IS038","2"
"c6397812","Glow-180spk","p024","IS038","3"
"c6397812","Tacotron2-180spk","p006","AS009","4"
"c6397812","Tacotron2-060spk","p026","IS038","4"
"c6397812","Tacotron2-030spk","p018","IS031","3"
"c6397812","Tacotron2-030spk","p053","VP427","3"
"c6397812","Tacotron2-180spk","p013","IS031","4"
"c6397812","Tacotron2-060spk","p012","IS031","5"
"c6397812","Glow-180spk","p052","VP427","1"
"c6397812","Glow-180spk","p038","MS052","1"
"c6397812","Tacotron2-030spk","p039","MS052","2"
"c6397812","Tacotron2-060spk","p005","AS009","5"
"c6397812","Glow-030spk","p036","MS052","3"
"c6397812","Glow-060spk","p058","VP427","3"
"c6397812","Tacotron2-180spk","p048","VP131","4"
"6270ff5b","Glow-030spk","p029","IS038","3"
"c6397812","Tacotron2-060spk","p040","MS052","3"
"c6397812","Tacotron2-180spk","p027","IS038","5"
"c6397812","Tacotron2-030spk","p004","AS009","5"
"c6397812","Glow-030spk","p043","VP131","3"
"c6397812","Tacotron2-060spk","p054","VP427","4"
"c6397812","Tacotron2-180spk","p041","VP131","4"
"c6397812","Tacotron2-060spk","p047","VP131","4"
"c6397812","Tacotron2-060spk","p033","MS052","3"
"c6397812","GT-000000","p014","IS031","5"
"6270ff5b","Glow-180spk","p017","IS031","2"
"6270ff5b","Glow-180spk","p003","AS009","4"
"6270ff5b","Glow-060spk","p009","AS009","4"
"6270ff5b","Tacotron2-060spk","p012","IS031","4"
"6270ff5b","Tacotron2-030spk","p032","MS052","3"
"6270ff5b","Tacotron2-180spk","p055","VP427","3"
"6270ff5b","Glow-060spk","p037","MS052","1"
"6270ff5b","Tacotron2-030spk","p018","IS031","2"
"6270ff5b","Tacotron2-060spk","p005","AS009","4"
"6270ff5b","Tacotron2-030spk","p046","VP131","3"
"6270ff5b","Tacotron2-060spk","p047","VP131","3"
"6270ff5b","Glow-180spk","p010","AS009","2"
"6270ff5b","Tacotron2-060spk","p054","VP427","4"
"6270ff5b","Glow-180spk","p052","VP427","1"
"6270ff5b","Glow-060spk","p016","IS031","2"
"6270ff5b","Glow-180spk","p031","MS052","3"
"6270ff5b","GT-000000","p028","IS038","5"
"6270ff5b","GT-000000","p014","IS031","5"
